QBfffffffffff	TimeUS	Health	D0	D45	D90	D135	D180	D225	D270	D315	DUp	CAn	CDis
PRX	60902502	2	10.22	0	24.86	0	25.99	0	5.06	0	0	270	5.06
PRX	61002469	2	9.95	0	22.24	0	25.99	0	4.79	0	0	270	4.79
PRX	61102477	2	9.64	0	14.74	0	25.99	0	4.66	0	0	270	4.66
PRX	61202482	2	9.33	0	23.18	0	25.99	0	4.61	0	0	270	4.61
PRX	61302802	2	9	0	25.29	0	25.99	0	4.55	0	0	270	4.55
PRX	61402748	2	8.65	0	15.49	0	25.99	0	4.56	0	0	270	4.56
PRX	61502908	2	8.21	0	13.03	0	25.99	0	4.61	0	0	270	4.61
PRX	61602387	2	7.79	0	12.19	0	25.99	0	4.68	0	0	270	4.68
PRX	61702495	2	7.49	0	11.96	0	25.99	0	4.99	0	0	270	4.99
PRX	61802455	2	7.25	0	11.62	0	25.99	0	5.23	0	0	270	5.23
PRX	61902401	2	6.92	0	18.71	0	25.99	0	5.49	0	0	270	5.49
PRX	62002473	2	6.74	0	16.57	0	25.99	0	5.79	0	0	270	5.79
PRX	62102451	2	6.53	0	11.97	0	25.99	0	6.12	0	0	270	6.12
PRX	62202718	2	6.39	0	10.51	0	25.99	0	6.49	0	0	0	6.39
PRX	62302465	2	6.31	0	9.55	0	25.99	0	21.12	0	0	0	6.31
PRX	62402488	2	6.29	0	9.05	0	25.99	0	24.78	0	0	0	6.29
PRX	62502544	2	6.28	0	8.65	0	25.99	0	19.17	0	0	0	6.28
PRX	62602464	2	6.23	0	8.16	0	25.99	0	15.62	0	0	0	6.23
PRX	62702468	2	6.36	0	7.78	0	25.99	0	19.15	0	0	0	6.36
PRX	62802518	2	6.56	0	7.46	0	25.99	0	20.13	0	0	0	6.56
PRX	62902479	2	6.89	0	7.13	0	25.99	0	24.53	0	0	0	6.89
PRX	63002595	2	7.28	0	6.91	0	25.99	0	21.74	0	0	90	6.91
PRX	63102391	2	7.65	0	6.67	0	25.99	0	24.93	0	0	90	6.67
PRX	63202362	2	7.96	0	6.63	0	25.99	0	21.9	0	0	90	6.63
PRX	63302417	2	8.37	0	6.64	0	25.99	0	24.97	0	0	90	6.64
PRX	63402373	2	8.65	0	6.73	0	25.99	0	20.36	0	0	90	6.73
PRX	63502603	2	8.87	0	6.75	0	25.99	0	24.59	0	0	90	6.75
PRX	63602363	2	9.21	0	6.81	0	25.99	0	25.64	0	0	90	6.81
PRX	63702502	2	9.49	0	6.96	0	25.99	0	25.91	0	0	90	6.96
PRX	63802476	2	9.67	0	7.43	0	25.99	0	17.52	0	0	90	7.43
PRX	63902398	2	9.79	0	7.7	0	25.99	0	11.08	0	0	90	7.7
PRX	64002600	2	9.78	0	8.12	0	25.99	0	8.93	0	0	90	8.12
PRX	64102551	2	9.86	0	17.18	0	25.99	0	8.33	0	0	270	8.33
PRX	64202503	2	9.84	0	11.08	0	25.99	0	7.93	0	0	270	7.93
PRX	64302489	2	9.85	0	9.89	0	25.23	0	7.54	0	0	270	7.54
PRX	64402481	2	9.73	0	9.91	0	23.65	0	7.13	0	0	270	7.13
PRX	64502545	2	9.56	0	10.08	0	25.41	0	6.85	0	0	270	6.85
PRX	64602392	2	9.29	0	10.34	0	25.85	0	6.59	0	0	270	6.59
PRX	64702474	2	9.05	0	14.38	0	25.98	0	6.46	0	0	270	6.46
PRX	64802390	2	8.81	0	11.53	0	25.99	0	6.35	0	0	270	6.35
PRX	64902406	2	8.59	0	10.82	0	25.99	0	6.36	0	0	270	6.36
PRX	65002373	2	8.34	0	10.61	0	25.99	0	6.5	0	0	270	6.5
PRX	65102459	2	8.03	0	10.43	0	25.99	0	6.62	0	0	270	6.62
PRX	65202489	2	7.83	0	10.17	0	25.99	0	6.77	0	0	270	6.77
PRX	65302441	2	7.65	0	9.87	0	25.99	0	7.1	0	0	270	7.1
PRX	65402474	2	7.43	0	9.56	0	25.99	0	12.1	0	0	0	7.43
PRX	65502439	2	7.22	0	17.56	0	25.99	0	9.08	0	0	0	7.22
PRX	65602434	2	7.1	0	19.51	0	25.99	0	12.41	0	0	0	7.1
PRX	65702494	2	7.04	0	10.85	0	25.99	0	22.6	0	0	0	7.04
PRX	65802444	2	7.09	0	8.48	0	25.99	0	25.15	0	0	0	7.09
PRX	65902473	2	7.19	0	7.61	0	25.99	0	21.66	0	0	0	7.19
PRX	66002647	2	7.35	0	7.19	0	25.99	0	16.98	0	0	90	7.19
PRX	66102965	2	7.65	0	7	0	25.99	0	11.88	0	0	90	7
PRX	66202437	2	7.88	0	6.73	0	25.99	0	12.85	0	0	90	6.73
PRX	66302370	2	8.22	0	6.66	0	25.99	0	18.86	0	0	90	6.66
PRX	66402486	2	8.46	0	6.65	0	25.99	0	12.65	0	0	90	6.65
PRX	66502522	2	8.8	0	6.75	0	25.99	0	22.66	0	0	90	6.75
PRX	66602767	2	9.04	0	6.75	0	25.99	0	25.16	0	0	90	6.75
PRX	66702391	2	9.22	0	6.91	0	25.99	0	13.61	0	0	90	6.91
PRX	66802416	2	9.47	0	7.07	0	25.99	0	10.57	0	0	90	7.07
PRX	66902408	2	9.76	0	7.33	0	25.99	0	9.53	0	0	90	7.33
PRX	67002373	2	9.88	0	12.44	0	23.91	0	9.11	0	0	270	9.11
PRX	67102441	2	9.92	0	18.17	0	25.47	0	8.59	0	0	270	8.59
PRX	67202516	2	10.01	0	24.04	0	25.86	0	8.29	0	0	270	8.29
PRX	67302446	2	10.06	0	25.51	0	24.4	0	7.84	0	0	270	7.84
PRX	67402473	2	9.97	0	13.44	0	25.6	0	7.52	0	0	270	7.52
PRX	67502570	2	9.85	0	22.86	0	25.9	0	7.33	0	0	270	7.33
PRX	67602539	2	9.7	0	17.11	0	25.97	0	7.26	0	0	270	7.26
PRX	67702392	2	9.52	0	16.7	0	24.56	0	7.25	0	0	270	7.25
PRX	67802448	2	9.28	0	19.58	0	25.82	0	7.31	0	0	270	7.31
PRX	67902405	2	9.04	0	11.94	0	25.95	0	7.52	0	0	270	7.52
PRX	68002433	2	8.8	0	9.83	0	25.98	0	7.76	0	0	270	7.76
PRX	68102538	2	8.48	0	9.12	0	25.99	0	7.99	0	0	270	7.99
PRX	68202347	2	8.13	0	8.74	0	25.99	0	8.31	0	0	0	8.13
PRX	68302469	2	7.88	0	8.32	0	25.99	0	8.74	0	0	0	7.88
PRX	68402504	2	7.66	0	7.65	0	25.99	0	9.15	0	0	90	7.65
PRX	68502701	2	7.57	0	7.34	0	25.99	0	9.57	0	0	90	7.34
PRX	68602367	2	7.53	0	6.92	0	25.99	0	14.1	0	0	90	6.92
PRX	68702487	2	7.5	0	6.67	0	25.99	0	24.51	0	0	90	6.67
PRX	68802500	2	7.46	0	6.37	0	25.99	0	25.62	0	0	90	6.37
PRX	68902471	2	7.47	0	6.16	0	25.99	0	25.9	0	0	90	6.16
PRX	69002444	2	7.55	0	6.01	0	25.99	0	16.07	0	0	90	6.01
PRX	69102495	2	7.61	0	5.95	0	25.99	0	23.51	0	0	90	5.95
PRX	69202460	2	7.76	0	5.93	0	25.99	0	25.37	0	0	90	5.93
PRX	69302371	2	7.81	0	6.03	0	25.99	0	25.84	0	0	90	6.03
PRX	69402384	2	7.94	0	6.22	0	25.99	0	22.09	0	0	90	6.22
PRX	69502615	2	7.97	0	6.43	0	25.99	0	13.35	0	0	90	6.43
PRX	69602353	2	8.13	0	6.71	0	25.99	0	10.96	0	0	90	6.71
PRX	69702399	2	8.19	0	7.02	0	25.99	0	10.08	0	0	90	7.02
PRX	69802633	2	8.24	0	7.45	0	25.99	0	17.91	0	0	90	7.45
PRX	69902365	2	8.25	0	7.79	0	25.52	0	11.26	0	0	90	7.79
PRX	70002397	2	8.36	0	8.17	0	25.88	0	9.3	0	0	90	8.17
PRX	70102473	2	8.46	0	8.55	0	25.97	0	8.43	0	0	270	8.43
PRX	70202401	2	8.55	0	9.18	0	25.99	0	7.37	0	0	270	7.37
PRX	70302447	2	8.66	0	9.62	0	25.99	0	6.95	0	0	270	6.95
PRX	70402533	2	8.83	0	9.97	0	25.99	0	16.27	0	0	0	8.83
PRX	70502603	2	8.94	0	18.1	0	25.99	0	12.83	0	0	0	8.94
PRX	70602509	2	9.13	0	12.58	0	25.99	0	22.7	0	0	0	9.13
PRX	70702520	2	9.23	0	22.64	0	25.99	0	14.27	0	0	0	9.23
PRX	70802462	2	9.46	0	25.58	0	25.99	0	23.06	0	0	0	9.46
PRX	70902463	2	9.59	0	25.89	0	25.99	0	14.41	0	0	0	9.59
PRX	71002367	2	9.83	0	25.97	0	25.99	0	12.51	0	0	0	9.83
PRX	71102436	2	9.99	0	25.99	0	24.18	0	11.24	0	0	0	9.99
PRX	71202490	2	10.11	0	25.99	0	25.54	0	22.31	0	0	0	10.11
PRX	71302427	2	10.13	0	25.99	0	25.88	0	19.25	0	0	0	10.13
PRX	71402360	2	10.24	0	25.99	0	25.97	0	13.44	0	0	0	10.24
PRX	71502545	2	10.17	0	25.99	0	24.2	0	11.35	0	0	0	10.17
PRX	71602359	2	9.99	0	25.99	0	25.55	0	4.98	0	0	270	4.98
PRX	71702387	2	9.75	0	25.99	0	25.94	0	23.37	0	0	0	9.75
PRX	71802450	2	9.63	0	25.99	0	25.98	0	8.65	0	0	270	8.65
PRX	71902455	2	9.37	0	25.99	0	25.25	0	5.12	0	0	270	5.12
PRX	72002462	2	9.05	0	25.99	0	25.81	0	4.24	0	0	270	4.24
PRX	72102447	2	8.7	0	16.08	0	25.95	0	9.56	0	0	0	8.7
PRX	72202518	2	8.47	0	23.52	0	25.98	0	5.28	0	0	270	5.28
PRX	72302457	2	8.04	0	15.21	0	25.99	0	4.47	0	0	270	4.47
PRX	72402387	2	7.81	0	19.47	0	25.99	0	4.42	0	0	270	4.42
PRX	72502607	2	7.58	0	13.77	0	25.99	0	4.79	0	0	270	4.79
PRX	72602330	2	7.37	0	12.19	0	25.99	0	5.14	0	0	270	5.14
PRX	72702819	2	7.2	0	18.93	0	25.99	0	5.57	0	0	270	5.57
PRX	72802453	2	7.1	0	16.58	0	25.99	0	6.02	0	0	270	6.02
PRX	72902344	2	7.01	0	15.7	0	25.99	0	6.45	0	0	270	6.45
PRX	73002587	2	6.97	0	11.14	0	25.99	0	7.14	0	0	0	6.97
PRX	73102651	2	6.84	0	17.85	0	25.99	0	7.61	0	0	0	6.84
PRX	73202426	2	6.84	0	14.97	0	25.99	0	8.34	0	0	0	6.84
PRX	73302373	2	6.98	0	9.43	0	25.99	0	8.55	0	0	0	6.98
PRX	73402492	2	7.14	0	12.2	0	25.99	0	17.59	0	0	0	7.14
PRX	73502573	2	7.35	0	7.72	0	25.99	0	20.15	0	0	0	7.35
PRX	73602547	2	7.58	0	6.2	0	25.99	0	24.53	0	0	90	6.2
PRX	73702456	2	7.87	0	5.31	0	25.99	0	25.63	0	0	90	5.31
PRX	73802450	2	8.14	0	4.74	0	25.99	0	25.9	0	0	90	4.74
PRX	73902506	2	8.31	0	4.27	0	25.99	0	19.43	0	0	90	4.27
PRX	74002423	2	8.65	0	3.76	0	25.99	0	18.7	0	0	90	3.76
PRX	74102388	2	8.91	0	3.56	0	25.99	0	13.63	0	0	90	3.56
