	Lab 3 output:

straight time is 10000 and turn time is 2000 
x = 1.067191  y = -0.682032 
x = 1.067432  y = -0.689899 
x = 1.067432  y = -0.689899 
x = 1.067649  y = -0.697352 
x = 1.067649  y = -0.697352 
x = 1.067872  y = -0.705441 
x = 1.068068  y = -0.712875 
x = 1.068256  y = -0.720238 
x = 1.068256  y = -0.720238 
x = 1.068475  y = -0.728494 
x = 1.068675  y = -0.735775 
x = 1.068675  y = -0.735775 
x = 1.068901  y = -0.743767 
x = 1.068901  y = -0.743767 
x = 1.069364  y = -0.759001 
x = 1.069364  y = -0.759001 
x = 1.069595  y = -0.766719 
x = 1.069831  y = -0.774118 
x = 1.070094  y = -0.782238 
x = 1.070094  y = -0.782238 
x = 1.070345  y = -0.789603 
x = 1.070595  y = -0.797175 
x = 1.070595  y = -0.797175 
x = 1.070873  y = -0.805289 
x = 1.071128  y = -0.812578 
x = 1.071128  y = -0.812578 
x = 1.071487  y = -0.820501 
x = 1.071657  y = -0.827715 
x = 1.071657  y = -0.827715 
x = 1.071935  y = -0.835775 
x = 1.072193  y = -0.843558 
x = 1.072193  y = -0.843558 
x = 1.072648  y = -0.858785 
x = 1.072648  y = -0.858785 
x = 1.072892  y = -0.866360 
x = 1.073121  y = -0.873921 
x = 1.073121  y = -0.873921 
x = 1.073382  y = -0.882109 
x = 1.073619  y = -0.889367 
x = 1.073619  y = -0.889367 
x = 1.073886  y = -0.897415 
x = 1.074138  y = -0.904750 
x = 1.074419  y = -0.912610 
x = 1.074419  y = -0.912610 
x = 1.074683  y = -0.920329 
x = 1.074683  y = -0.920329 
x = 1.074930  y = -0.927773 
x = 1.075189  y = -0.935937 
x = 1.075413  y = -0.943319 
x = 1.075641  y = -0.951250 
x = 1.075858  y = -0.959172 
x = 1.075858  y = -0.959172 
x = 1.076122  y = -0.966483 
x = 1.076122  y = -0.966483 
x = 1.076234  y = -0.973771 
x = 1.076439  y = -0.981256 
x = 1.076439  y = -0.981256 
x = 1.076670  y = -0.989218 
x = 1.076902  y = -0.996911 
x = 1.076902  y = -0.996911 
x = 1.077120  y = -1.004183 
x = 1.077370  y = -1.012346 
x = 1.077609  y = -1.019694 
x = 1.077847  y = -1.027255 
x = 1.078115  y = -1.035387 
x = 1.078115  y = -1.035387 
x = 1.078359  y = -1.042670 
x = 1.078359  y = -1.042670 
x = 1.078726  y = -1.050704 
x = 1.078887  y = -1.057833 
x = 1.078887  y = -1.057833 
