PRX,65141173,2,7.51,0,6.51,0,14.51,0,9.85,0,0,90,6.51,,,,,
IMU,65141181,0.008284287,0.002515578,0.003758881,-0.8010719,-0.008669488,-9.712866,0,0,44.15569,1,1,999,999,,,,
IMU,65180711,0.003317933,-0.005784378,0.01306226,-0.0665025,-0.7645382,-9.980552,0,0,44.13485,1,1,999,999,,,,
IMU,65220571,-0.009566864,-0.002287348,-0.00778101,0.7232807,-0.4634636,-9.594642,0,0,44.11468,1,1,999,999,,,,
CTUN,65240659,0,0,0,0.3065111,0.06858321,0.06858321,0.25,0,0.19,0,0,-1,,,,,
ATT,65240848,0,0.31,0,-0.49,0.45,0.46,0,1,,,,,,,,,
PRX,65241049,2,7.55,0,6.48,0,14.37,0,9.83,0,0,90,6.48,,,,,
IMU,65260580,0.004389093,-0.005253263,-0.01910971,-0.5577362,1.054167,-9.815988,0,0,44.09099,1,1,999,999,,,,
IMU,65301038,0.000760928,0.001897519,0.03050392,-0.09462838,-0.3697214,-9.666822,0,0,44.06206,1,1,999,999,,,,
CTUN,65340660,0,0,0,0.3065111,0.06624289,0.06624289,0.22,0,0.19,0,0,-2,,,,,
ATT,65340848,0,0.3,0,-0.49,0.42,0.42,0,1,,,,,,,,,
PRX,65341041,2,7.51,0,6.53,0,14.4,0,9.8,0,0,90,6.53,,,,,
IMU,65341049,-0.003401206,-0.0003016516,-0.009638322,-0.002187814,0.2936212,-9.756907,0,0,44.02948,1,1,999,999,,,,
IMU,65380672,-0.007488,0.002204581,-0.009675676,0.7765547,-0.2873895,-10.12593,0,0,43.99545,1,1,999,999,,,,
IMU,65420592,0.008396297,-0.01104025,0.01105922,-0.775812,0.3568861,-9.297652,0,0,43.96272,1,1,999,999,,,,
CTUN,65441059,0,0,0,0.3065111,0.06345157,0.06345157,0.17,0,0.19,0,0,-2,,,,,
ATT,65441137,0,0.3,0,-0.5,0.44,0.45,0,1,,,,,,,,,
PRX,65441263,2,7.48,0,6.53,0,14.4,0,9.8,0,0,90,6.53,,,,,
IMU,65460640,-0.00501999,-0.00125253,-0.00237313,0.05669626,-0.3127459,-9.464661,0,0,43.93266,1,1,999,999,,,,
IMU,65500635,-0.004275874,0.0005368634,0.002555968,0.4512203,0.1990789,-9.807075,0,0,43.90567,1,1,999,999,,,,
CTUN,65540615,0,0,0,0.3065111,0.06027935,0.06027935,0.07,0,0.19,0,0,-3,,,,,
ATT,65540742,0,0.31,0,-0.5,0.44,0.45,0,1,,,,,,,,,
PRX,65540889,2,7.56,0,6.52,0,14.45,0,9.83,0,0,90,6.52,,,,,
IMU,65540897,0.003136107,0.001225277,-0.005108263,-0.6588023,0.08154624,-9.546045,0,0,43.88293,1,1,999,999,,,,
IMU,65580614,-0.0005627081,-0.001925404,0.009766339,0.4146024,-0.6023027,-9.415077,0,0,43.86431,1,1,999,999,,,,
IMU,65620681,-0.001511896,0.003444701,-0.003408042,0.5859006,0.3086697,-9.94312,0,0,43.84915,1,1,999,999,,,,
CTUN,65640645,0,0,0,0.3065111,0.05681656,0.05681656,-0.01,0,0.19,0,0,-3,,,,,
ATT,65640713,0,0.32,0,-0.49,0.45,0.46,0,1,,,,,,,,,
PRX,65640857,2,7.51,0,6.52,0,14.5,0,9.83,0,0,90,6.52,,,,,
IMU,65660680,-0.006048197,-0.01190048,-0.00473222,0.7460371,0.3082813,-9.988508,0,0,43.83706,1,1,999,999,,,,
IMU,65700684,0.009092698,0.009495215,-0.0007113275,-0.5259719,0.4809598,-9.83605,0,0,43.82818,1,1,999,999,,,,
CTUN,65740621,0,0,0,0.3065111,0.05312825,0.05312825,-0.05,0,0.19,0,0,-3,,,,,
ATT,65740691,0,0.29,0,-0.51,0.45,0.46,0,1,,,,,,,,,
PRX,65740836,2,7.56,0,6.5,0,14.42,0,9.82,0,0,90,6.5,,,,,
IMU,65740843,-0.006592168,-0.001023265,0.008110325,0.8605739,-0.3268321,-9.986335,0,0,43.82205,1,1,999,999,,,,
